T550,x,y,lon,lat
0.9827,684,2584,-60.631389846920456,-3.28772599169929
0.98389995,684,2585,-60.628712846927215,-3.2883349916977522
0.98499995,684,2586,-60.62604384693395,-3.2889419916962197
0.9862,684,2587,-60.623373846940694,-3.2895499916946846
0.9873,684,2588,-60.62071484694741,-3.290154991693157
0.9885,684,2589,-60.61804384695415,-3.2907619916916246
0.98969996,684,2590,-60.61537384696089,-3.2913699916900896
0.99079996,684,2591,-60.612703846967634,-3.291976991688557
0.992,684,2592,-60.61000884697444,-3.2925899916870094
0.992,684,2593,-60.61000884697444,-3.2925899916870094
0.99549997,684,2596,-60.60197484699472,-3.2944189916823916
0.9966,684,2597,-60.599291847001496,-3.2950289916808515
0.9978,684,2598,-60.59660984700827,-3.2956389916793114
0.9989,684,2599,-60.593917847015064,-3.2962519916777637
1.0001,684,2600,-60.591235847021835,-3.2968619916762236
1.0018,684,2601,-60.58855384702861,-3.2974719916746835
1.0018,684,2602,-60.58855384702861,-3.2974719916746835
1.0035,684,2603,-60.58588384703535,-3.298078991673151
1.0052,684,2604,-60.58321984704207,-3.298684991671621
1.0069,684,2605,-60.58055284704881,-3.2992919916700885
1.0087,684,2606,-60.57788584705554,-3.299898991668556
1.0155,684,2611,-60.56723284708244,-3.3023219916624384
1.0206,684,2614,-60.55919484710273,-3.304149991657823
1.0224,684,2615,-60.55655784710939,-3.3047499916563083
1.0241,684,2616,-60.55389184711612,-3.305356991654776
1.0258,684,2617,-60.55122584712285,-3.305962991653246
1.0297999,684,2618,-60.54856184712958,-3.306568991651716
1.0297999,684,2619,-60.54856184712958,-3.306568991651716
1.0337,684,2620,-60.5458988471363,-3.3071739916501883
1.0376999,684,2621,-60.543219847143064,-3.3077839916486482
0.9772,685,2575,-60.65081584687141,-3.286034991703559
0.9772,685,2576,-60.65081584687141,-3.286034991703559
0.97919995,685,2578,-60.64541784688504,-3.2872629917004588
0.98029995,685,2579,-60.64272684689183,-3.287875991698911
0.9813,685,2580,-60.640036846898624,-3.288487991697366
0.9823,685,2581,-60.63734884690541,-3.289099991695821
0.9833,685,2582,-60.63466784691218,-3.2897099916942807
0.9844,685,2583,-60.63198684691895,-3.2903199916927406
0.9844,685,2584,-60.63198684691895,-3.2903199916927406
0.9855,685,2585,-60.62930184692573,-3.290930991691198
0.9866,685,2586,-60.626629846932474,-3.291538991689663
0.9877,685,2587,-60.62395784693922,-3.292146991688128
0.98889995,685,2588,-60.621285846945966,-3.292754991686593
0.98999995,685,2589,-60.618624846952684,-3.2933599916850653
0.99109995,685,2590,-60.615954846959426,-3.2939679916835303
0.99219996,685,2591,-60.61328484696617,-3.2945749916819977
0.9934,685,2592,-60.610595846972956,-3.2951869916804526
0.9934,685,2593,-60.610595846972956,-3.2951869916804526
0.9945,685,2594,-60.60791784697972,-3.295795991678915
1.0012,685,2600,-60.59182884702034,-3.299456991669672
1.0029,685,2601,-60.589144847027114,-3.3000669916681318
1.0029,685,2602,-60.589144847027114,-3.3000669916681318
1.0045999,685,2603,-60.58646584703388,-3.3006769916665917
1.0063,685,2604,-60.58379684704062,-3.301283991665059
1.008,685,2605,-60.58112484704736,-3.301891991663524
1.0097,685,2606,-60.578454847054104,-3.3024989916619916
1.0198,685,2613,-60.56248784709442,-3.3061309916528216
1.0249,685,2616,-60.55449084711461,-3.307949991648229
1.0266,685,2617,-60.55182684712133,-3.308555991646699
0.98029995,686,2577,-60.648718846876704,-3.2892419916954623
0.9813,686,2578,-60.64602284688351,-3.289855991693912
0.98219997,686,2579,-60.6433328468903,-3.290467991692367
0.98319995,686,2580,-60.64064484689709,-3.2910789916908243
0.9841,686,2581,-60.63795784690387,-3.291690991689279
0.9851,686,2582,-60.635271846910655,-3.2923019916877365
0.986,686,2583,-60.63258484691744,-3.292912991686194
0.986,686,2584,-60.63258484691744,-3.292912991686194
0.98709995,686,2585,-60.62989584692423,-3.293525991684646
0.98819995,686,2586,-60.62721684693099,-3.2941349916831086
0.98929995,686,2587,-60.62454284693774,-3.2947429916815736
0.99039996,686,2588,-60.6218678469445,-3.295351991680036
0.99149996,686,2589,-60.61919584695124,-3.295959991678501
0.99259996,686,2590,-60.61652684695798,-3.2965669916769684
0.99369997,686,2591,-60.61385684696472,-3.2971749916754334
0.9948,686,2592,-60.611181846971476,-3.2977829916738983
0.9948,686,2593,-60.611181846971476,-3.2977829916738983
0.99579996,686,2594,-60.60850384697824,-3.298392991672358
0.99689996,686,2595,-60.605825846985,-3.2990019916708206
0.99799997,686,2596,-60.60314684699176,-3.2996119916692805
0.99909997,686,2597,-60.60046684699853,-3.300220991667743
1.0023999,686,2600,-60.592423847018836,-3.3020509916631227
1.0041,686,2601,-60.58973684702562,-3.3026629916615775
1.0041,686,2602,-60.58973684702562,-3.3026629916615775
1.0057,686,2603,-60.5870518470324,-3.3032729916600374
1.0073999,686,2604,-60.584375847039155,-3.3038819916585
1.0091,686,2605,-60.581670847045984,-3.3044979916569446
1.0107,686,2606,-60.57903084705265,-3.3050979916554297
1.0124,686,2607,-60.57638384705933,-3.30569999165391
1.0207,686,2613,-60.563082847092915,-3.30872599164627
1.0241,686,2615,-60.55775284710637,-3.30993799164321
1.0257,686,2616,-60.5550888471131,-3.31054399164168
0.9851,687,2580,-60.64125184689556,-3.29367099168428
0.986,687,2581,-60.638566846902336,-3.2942819916827375
0.98679996,687,2582,-60.63587884690912,-3.2948939916811923
0.9877,687,2583,-60.63318584691592,-3.2955069916796447
0.9877,687,2584,-60.63318584691592,-3.2955069916796447
0.9888,687,2585,-60.63049284692272,-3.2961189916780995
0.9898,687,2586,-60.62781084692949,-3.296729991676557
0.9909,687,2587,-60.62513784693624,-3.297337991675022
0.99189997,687,2588,-60.62246384694299,-3.297945991673487
0.993,687,2589,-60.61978984694974,-3.298554991671949
0.99399996,687,2590,-60.61711684695649,-3.299162991670414
0.99509996,687,2591,-60.61444284696324,-3.299770991668879
0.99609995,687,2592,-60.61176784697,-3.3003799916673415
0.99609995,687,2593,-60.61176784697,-3.3003799916673415
0.99719995,687,2594,-60.60908884697676,-3.3009899916658014
0.99829996,687,2595,-60.60641084698352,-3.301598991664264
0.9993,687,2596,-60.60373384699028,-3.3022079916627263
1.0004,687,2597,-60.60105684699704,-3.3028169916611887
1.0035,687,2600,-60.59301884701733,-3.304645991656571
1.0052,687,2601,-60.59033184702412,-3.3052569916550283
1.0052,687,2602,-60.59033184702412,-3.3052569916550283
1.0067999,687,2603,-60.5876458470309,-3.3058679916534857
1.0085,687,2604,-60.58494084703773,-3.3064839916519304
1.0101,687,2605,-60.582268847044475,-3.307090991650398
1.0117999,687,2606,-60.57959784705122,-3.307698991648863
1.0134,687,2607,-60.57697584705784,-3.308294991647358
