,str_date,dt.time,Oa08_mean,kde_flag,Oa08_kde_min,Oa08_kde_max
169,20170311T134507,2017-03-11 13:45:07,,False,False,False
170,20170314T140709,2017-03-14 14:07:09,,False,False,False
171,20170315T134250,2017-03-15 13:42:50,,False,False,False
172,20170318T140454,2017-03-18 14:04:54,,False,False,False
173,20170319T133836,2017-03-19 13:38:36,,False,False,False
174,20170322T140040,2017-03-22 14:00:40,,False,False,False
175,20170323T133422,2017-03-23 13:34:22,0.13560009854166666,True,0.10396436,0.13560009854166666
176,20170326T135626,2017-03-26 13:56:26,,False,False,False
177,20170327T133008,2017-03-27 13:30:08,,False,False,False
178,20170330T135213,2017-03-30 13:52:13,0.11032285035097493,True,0.10986053,0.11032285035097493
179,20170331T132755,2017-03-31 13:27:55,,False,False,False
180,20170403T135000,2017-04-03 13:50:00,0.10145252557860082,True,0.10145252557860082,0.13809626
181,20170404T132342,2017-04-04 13:23:42,,False,False,False
182,20170406T141206,2017-04-06 14:12:06,,False,False,False
183,20170407T134548,2017-04-07 13:45:48,0.12773174686046512,True,0.12773174686046512,0.12817164
184,20170410T140754,2017-04-10 14:07:54,,False,False,False
185,20170411T134137,2017-04-11 13:41:37,0.10897648051836735,True,0.10897648051836735,0.15351420000000002
186,20170414T140344,2017-04-14 14:03:44,,False,False,False
187,20170415T133726,2017-04-15 13:37:26,,False,False,False
188,20170415T133926,2017-04-15 13:39:26,,False,False,False
189,20170418T135934,2017-04-18 13:59:34,,False,False,False
190,20170418T140134,2017-04-18 14:01:34,,False,False,False
191,20170419T133517,2017-04-19 13:35:17,,False,False,False
192,20170422T135725,2017-04-22 13:57:25,0.08165360540528635,True,0.08165360540528635,0.08165360540528635
193,20170423T133130,2017-04-23 13:31:30,,False,False,False
194,20170426T135339,2017-04-26 13:53:39,0.07769952805357143,True,0.07769952805357143,0.12090213
195,20170427T132748,2017-04-27 13:27:48,0.08596715514285715,True,0.08574480599999999,0.08596715514285715
196,20170430T134959,2017-04-30 13:49:59,0.0729024128919708,True,0.0729024128919708,0.12699974
197,20170501T132408,2017-05-01 13:24:08,,False,False,False
198,20170503T141208,2017-05-03 14:12:08,,False,False,False
199,20170504T134618,2017-05-04 13:46:18,0.06977902255737706,True,0.06664632,0.06977902255737706
200,20170507T140827,2017-05-07 14:08:27,,False,False,False
201,20170508T134237,2017-05-08 13:42:37,,False,False,False
202,20170511T140447,2017-05-11 14:04:47,,False,False,False
203,20170512T133857,2017-05-12 13:38:57,0.0856719979047619,True,0.07505112,0.12460098
204,20170515T140106,2017-05-15 14:01:06,,False,False,False
205,20170516T133516,2017-05-16 13:35:16,,False,False,False
206,20170519T135725,2017-05-19 13:57:25,0.06365651827237354,True,0.06365651827237354,0.10993378
207,20170520T133135,2017-05-20 13:31:35,0.07496253443243242,True,0.07496253443243242,0.07496253443243242
208,20170523T135344,2017-05-23 13:53:44,,False,False,False
209,20170524T132754,2017-05-24 13:27:54,0.080910675,False,False,False
210,20170527T135003,2017-05-27 13:50:03,0.06337185657098765,True,0.06337185657098765,0.06419264
211,20170528T132412,2017-05-28 13:24:12,,False,False,False
212,20170530T141212,2017-05-30 14:12:12,,False,False,False
213,20170531T134622,2017-05-31 13:46:22,,False,False,False
214,20170603T140831,2017-06-03 14:08:31,,False,False,False
215,20170604T134240,2017-06-04 13:42:40,0.06494205286516853,True,0.056904815,0.0667745
216,20170607T140449,2017-06-07 14:04:49,,False,False,False
217,20170608T133859,2017-06-08 13:38:59,,False,False,False
218,20170611T140108,2017-06-11 14:01:08,0.07081678970731708,True,0.07081678970731708,0.07457503
219,20170612T133517,2017-06-12 13:35:17,0.07700135781368822,True,0.042036198,0.0792993
220,20170615T135726,2017-06-15 13:57:26,0.06250110820391062,True,0.06250110820391062,0.06349681
221,20170616T133135,2017-06-16 13:31:35,0.07852141632258064,True,0.06930143400000001,0.07852141632258064
222,20170619T135344,2017-06-19 13:53:44,0.07331782736787565,True,0.07331782736787565,0.074977875
223,20170620T132753,2017-06-20 13:27:53,0.07765819675813952,True,0.07765819675813952,0.07765819675813952
224,20170623T135002,2017-06-23 13:50:02,,False,False,False
225,20170624T132411,2017-06-24 13:24:11,,False,False,False
226,20170626T141211,2017-06-26 14:12:11,,False,False,False
227,20170627T134621,2017-06-27 13:46:21,0.07934581438623853,True,0.07934581438623853,0.14759973
228,20170630T140829,2017-06-30 14:08:29,,False,False,False
229,20170701T134239,2017-07-01 13:42:39,,False,False,False
230,20170704T140447,2017-07-04 14:04:47,,False,False,False
231,20170705T133856,2017-07-05 13:38:56,0.08991748592586751,True,0.042677085999999996,0.14115421
232,20170708T140105,2017-07-08 14:01:05,0.08260498166942148,True,0.08260498166942148,0.08260498166942148
